== startdev 2023-07-31T16:01:00Z Start Airflow local containers
Attaching to airflow-airflow-init-1, airflow-airflow-scheduler-1, airflow-airflow-triggerer-1, airflow-airflow-webserver-1, airflow-airflow-worker-1, airflow-postgres-1, airflow-redis-1
airflow-airflow-init-1       | 
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:31 +0000] "POST /blocked HTTP/1.1" 200 2 "http://localhost:8080/home" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:31 +0000] "POST /last_dagruns HTTP/1.1" 200 2 "http://localhost:8080/home" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:31 +0000] "POST /dag_stats HTTP/1.1" 200 8120 "http://localhost:8080/home" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:31 +0000] "POST /task_stats HTTP/1.1" 200 26005 "http://localhost:8080/home" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /home?status=all HTTP/1.1" 200 419815 "http://localhost:8080/home" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/css/bootstrap.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/css/fontawesome/fontawesome.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/css/fontawesome/regular.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/css/fontawesome/solid.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/css/fontawesome/brands.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/css/fontawesome/v4-shims.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/select2/select2.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/datepicker/bootstrap-datepicker.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/css/ab.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/css/flags/flags16.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/select2/select2-bootstrap-theme.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/airflowDefaultTheme.9c52407a4b82b6d0a2da.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/materialIcons.087c3315826ce743dc8d.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/main.7482f675ad7c97dc7702.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/loadingDots.5da42d00b5455806e709.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/bootstrap-datetimepicker.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/switch.ed802dd5ece5b1999671.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/dags.75834f6135d1a798beb8.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/js/jquery-latest.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/js/ab_actions.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/js/ab_filters.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/flash.a58a9322159cd5cd08c3.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/js/bootstrap.min.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/datepicker/bootstrap-datepicker.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/js/ab.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/appbuilder/select2/select2.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/moment.805846635248ee428644.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/main.7482f675ad7c97dc7702.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/bootstrap-datetimepicker.min.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/bootstrap3-typeahead.min.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/d3.min.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "GET /static/dist/dags.75834f6135d1a798beb8.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "POST /blocked HTTP/1.1" 200 2 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "POST /last_dagruns HTTP/1.1" 200 2 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "POST /dag_stats HTTP/1.1" 200 8120 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:47 +0000] "POST /task_stats HTTP/1.1" 200 26005 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /home?status=all HTTP/1.1" 200 419815 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/css/bootstrap.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/css/fontawesome/fontawesome.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/css/fontawesome/regular.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/css/fontawesome/solid.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/css/fontawesome/brands.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/css/fontawesome/v4-shims.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/select2/select2.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/datepicker/bootstrap-datepicker.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/css/flags/flags16.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/select2/select2-bootstrap-theme.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/css/ab.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/airflowDefaultTheme.9c52407a4b82b6d0a2da.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/materialIcons.087c3315826ce743dc8d.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/main.7482f675ad7c97dc7702.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/loadingDots.5da42d00b5455806e709.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/switch.ed802dd5ece5b1999671.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/bootstrap-datetimepicker.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/js/jquery-latest.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/dags.75834f6135d1a798beb8.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/js/ab_actions.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/js/ab_filters.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/js/bootstrap.min.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/flash.a58a9322159cd5cd08c3.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/datepicker/bootstrap-datepicker.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/select2/select2.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/appbuilder/js/ab.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/moment.805846635248ee428644.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/main.7482f675ad7c97dc7702.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/bootstrap-datetimepicker.min.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/bootstrap3-typeahead.min.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/d3.min.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "GET /static/dist/dags.75834f6135d1a798beb8.js HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "POST /dag_stats HTTP/1.1" 200 8120 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "POST /blocked HTTP/1.1" 200 2 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "POST /last_dagruns HTTP/1.1" 200 2 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:50:49 +0000] "POST /task_stats HTTP/1.1" 200 26005 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 127.0.0.1 - - [31/Jul/2023:16:50:55 +0000] "GET /health HTTP/1.1" 200 243 "-" "curl/7.74.0"
airflow-redis-1              | 1:M 31 Jul 2023 16:51:05.130 * 100 changes in 300 seconds. Saving...
airflow-redis-1              | 1:M 31 Jul 2023 16:51:05.130 * Background saving started by pid 1537
airflow-redis-1              | 1537:C 31 Jul 2023 16:51:05.134 * DB saved on disk
airflow-redis-1              | 1537:C 31 Jul 2023 16:51:05.134 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
airflow-redis-1              | 1:M 31 Jul 2023 16:51:05.231 * Background saving terminated with success
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /home?status=all HTTP/1.1" 200 419815 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /static/appbuilder/css/fontawesome/fontawesome.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /static/appbuilder/css/fontawesome/regular.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /static/appbuilder/css/bootstrap.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /static/appbuilder/css/fontawesome/v4-shims.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /static/appbuilder/css/fontawesome/brands.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /static/appbuilder/css/fontawesome/solid.min.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /static/appbuilder/datepicker/bootstrap-datepicker.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
airflow-airflow-webserver-1  | 172.19.0.1 - - [31/Jul/2023:16:51:17 +0000] "GET /static/appbuilder/select2/select2-bootstrap-theme.css HTTP/1.1" 304 0 "http://localhost:8080/home?status=all" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0"
